id,created_time,message,sentiment
1697258400354050_1698136600266230,2018-03-24T13:46:17+0000,"What else can you expect from this bank, that is why we just left. We have FREE CHECKING with no minimum balance, plus we can call our representatives and not be charged. BB&T showed their true colors Feb 23rd 2018, this bank has
non caring Branch workers, Non caring Representatives,  most of all they are  LIARS. They never to this day told the truth whst really happened, they had their own BB&T employees coming on Facebook belittling people who were going through the crisis  that week.  I screen snapped every last word of it. They seriously suck...I advise you to stay far away from these thieves. Seriously. 
 I tell everyone I know this too.
 All they care about is making money off of you.  They never did anything for their customers either after what we went through.  I hope this bank fails...KARMA",Positive
1697258400354050_1697572806989276,2018-03-23T23:30:53+0000,"I'm getting the 'run around' and NO help!! have found papers for a CD maturing 2009 from Colonial Bank, after a week local branch mgr Adam Yablon (sarcastic) said he did research cannot find anything so 'good luck"". I asked to escalate, where to I go, who do I call, give me a direction, he said call corporate in NC customer service. I called they said its local branch responsibility, call Adam. Recalled Adam he gave me Natalie Evertt phone, asst to Mark Wroblewski (his direct boss he said). LM 2x no return call. ***SO WHO DO I CALL FOR HELP IN FINDING THIS CD? I think it is still good but I need paperwork showing the money was given to me. Is this a federal bank regulation issue to report? I feel this bank is being very unprofessional and unhelpful.",Positive
1697258400354050_1700627230017167,2018-03-27T01:18:40+0000,"Cannot enroll on online business banking! I keep getting the following error when trying to create an online account: ""A third-party server is not responding. Possible causes: the server is down, there is a hung application on the server, or network problems. This is not a problem with the WebSEAL server. "" How is it possible that such a large bank has so faulty a system?",Negative
1697258400354050_1698528616893695,2018-03-24T22:03:53+0000,I love my BB&T<U+2764><U+FE0F>. Thanks for  sharing.,Positive
1697258400354050_1698311560248734,2018-03-24T17:16:13+0000,Thank you for this information!! Saved it!!,Positive
1697258400354050_1697463723666851,2018-03-23T20:39:37+0000,<U+0627><U+0644><U+0633><U+0644><U+0627><U+0645> <U+0639><U+0644><U+064A><U+0643><U+0645>,Neutral
1697258400354050_1697463613666862,2018-03-23T20:39:28+0000,<U+0627><U+0644><U+0648><U+0648>,Neutral
1694383340641556_1696628870417003,2018-03-23T00:55:13+0000,Are your phone systems down???? Like why can I NOT call the number on the back of my card and check on my debit card information??? Y’all are THIS close <ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD> to making me change banks and I been with y’all for 5 years!!!!!! Need an answer ASAP or I’ll be OMW to the nearest BBT branch to snatch my lute and deposit it elsewhere.,Negative
1694383340641556_1696264367120120,2018-03-22T16:13:33+0000,"WORST BB&T in existence!  They are ridiculous!  They denied my customers, locked my accounts and told me to come in on a Saturday knowing good and darn well the department that releases the locks isn't even open on Saturdays.  I had to close my store for 2 1/2 hours to sit at a branch on a Saturday for nothing!  The stupid teller that called and verified the check friday night was so rude and obviously should not be working in a bank.  I have written checks and had no issues at all with cashing them.  They called me and verified the transaction twice and still refused to cash the check for the customer.  Very poor service.",Neutral
1694383340641556_1698138880266002,2018-03-24T13:49:33+0000,"Worst bank ever, glad we left in Feb! Why their BB&T ads still comes down my news feed really irritates me. I seriously want nothing to do with this bank.",Negative
