"text","emotion","polarity"
"my wife and i are customers of bbt we have direct deposit every month that amounts overdollars our credit scores are good and our accounts are always paid on time im so disappointed that every time i go to get a loan from my bank i have to get it elsewhere this to me is not building any relationship with the customer we havecar loans a mortgage andpersonal loans none of which are through this bank its for these reasons we will be looking for another bank especially with my growing company to use again just such severe disappointment that this bank cant help a loyal and always current customer just not a good bankadsbygooglewindowadsbygooglepushparams googleadchannel googleadclient capubgoogleadtype textgoogleoverrideformat truegooglecolorlink bagooglecolortext googlecolorbg fffgooglecolorurl","joy","negative"
"first i keep a ledger of my account balance i also have the bbt online so i can see my balance and pending transactions which coincide with my ledger i had a positive balance i went to the store used my debit card twice and looked at my new balance which was accurate next day i went to the bank and used my card for gas next morning i wake up and see im negativeand i was chargeoverdraft feetimes i went to the branch met with the branch manager he said he investigated it and the vendor had put my transactions through but then backed it out which caused my account to be negative but then ran the same transactions again this is not something as a customer we can see on our transactions it only shows pending and the balance is accurate so why should i have to be hit with fees when it was already calculated out of my positive balance i live pay check to pay check and now im in a tight financial position because bbt will not accommodate the customer im moving my account and will be spreading the word to as many people as possible to not bank here i work in the financial business myself and have never seen this type of funny business and cheating people out of money i will go to the corporate office and discuss these tactics further mymeans a lot to me i work hard for my money not to just give it away due to scams like thisview moreadsbygooglewindowadsbygooglepushparams googleadchannel googleadclient capubgoogleadtype textgoogleoverrideformat truegooglecolorlink bagooglecolortext googlecolorbg fffgooglecolorurl","joy","neutral"
"myyear old daughter had thought she misplaced her atm card so she borrows her moms who was on her account as she is primary on our account and our kids as secondary she notified bbt when she realized the misplaced card was stolen and being used l or a duplicate was being used then she starts getting charges nsf charges on the fraudulent withdrawals she makes minimum wage at zaxbys and workshrs per week she now owes bbt close tofor the fraud and nsf as bbt denied the fraud claim because they think she had something to do with it they dont have proof and they didnt lock down her account when she notified them they continued to let it remain and kept chargingnsf charges that they refuse to waive this organization is terrible and we have banked with them foryears including a mortgage adios to you thiefs at bbt your fraud dept is useless and your customer service is just as bad hire investigators that work and not someone that just threatens them clientvictimsview moreadsbygooglewindowadsbygooglepushparams googleadchannel googleadclient capubgoogleadtype textgoogleoverrideformat truegooglecolorlink bagooglecolortext googlecolorbg fffgooglecolorurl","fear","negative"
"on february ndthe bank lost outage and left customer out dry until the februarydue to some technical online issue the bank cards atms and even deposits were not submitted my irs check was sent to my account februaryand today is marchive called this bank overtimes sent every form possible confirmed the amount just to be informed we cant do nothing about that yet have they already apologize to every customer about the outage that lasteddays but my money not being in my account but in space is not there fault im facing eviction and nothing has been confirmed to me by this bank i feel used betrayed disrespected for me to put my trust into a company and receive nothing no sense of ownership taking to resolve a matter which was not dictated by me","unknown","negative"
"we have been having an issue with them holding certain transactions and not others to what seems like cause nsf fees and from reading other reviews we arent the only people having this issue it seems to be theircomplaint from consumers that they are absolute thieves they just had this huge system crash and nobody could see their accounts for days they said they were working to restore everyones accounts and make things right so lets go over how they made things right for me we havechecking accounts one that rarely ever gets used and the other as our primary well during this process the one that never gets used we dont even have a card tied to it had aboutdifferent balances over aday period which we knew they were having the issues they were having so we thought hey give them a chance to fix it and no worries right wrongim currently setting at abalance in a checking account that we dont even really use i gotnsf fees fora piece now if i had went wild and blown my money ok i earned that but that couldnt be further from the truth moral of the story is bbt are absolute crooks and do some very shady stuff with your money to make sure you have to pay them fees id rather go to wells fargo and have my identity stolen than pay these jokers thousands of dollars just because its amusing to them do not use bbt if you enjoy keeping the money you work for i urge everyone to find another bank they are awful and unwilling to make their mistakes rightview more","joy","neutral"
"im still dealing with the aftermath of this collapse and today im in the negative when i deposited money on thursday money transactions missing from my account then reappearing days later today customer service claims they cannot remedy the situation bc on their end the deposit wasnt in there yesterday its scheduled for monday then try to blame the vendor yeah a decade of loyal service in leaving today t just lost another customer and will be reported to the bbb and whomever else needs to know","unknown","negative"
"this is the absolutely worst bank ever for a business account their levelbanker knows nothing and cant even explain the difference between availability and posted balances we have over k floating around that no one can explain where its at is one star the lowest because i rate them a flat zero","unknown","negative"
"i cannot stress enough do not bank here these guys are absolutely terrible somehow they managed to change my payoff quote on my mortgage into a k increase to my loan balance their customer service flat out lies and after a week its still unresolved with no glimmer of hope its going to be resolved do not use them for anything use a loan shark instead it would be less stress or bury your money in your yard literally anything is better than bbt","fear","negative"
"all customers are having problems with this bank on monday febi had overin my bank account but due to an unknown bbt error i amin my account i called the bank that day and they said there was a bank error and that everything would be fixed by that night two days later i am still negative in my account i called them again to report fraud on the company and their department had a waiting list of overmins atam in the morning when they answered they had no helpful information besides that they would have problem resolved by tomorrow morning this is fraud i have no gas money to get to work to eat or to do anything can anyone help me with a class action lawsuit because im not the only person that got screwed over here there are thousands of people with this problem help us","sadness","negative"
"boycott big banks hey rd day no access to my hard earned money onfeb i will open an account with a small local bank then after im paid the money i overpaid to the irs i will close my bbt account plusadditional accounts i have at this bank we are the people we have power lets show how much power by depleting bbt pockets during the next week this is ridiculous at least in europe you receive an alert plus the banks face big government fines whats going on in our country this is theft maybe we can call the police on bbt that they have stolen our money the same as your everyday crook","fear","negative"
"i get so tired of bbt taking money from me mind you i admit that sometimes i may have a check returned but why do they make you pay for it over and over they have takenfrom my account because ofchecks in the amounts ofandthat is highway robbery i do not have a lot of money and i really try hard not to overdraft but with my limited income because of retirement there must be a limit on this practice of taking money in the name of bank fees this time it isbecause of acheck and a draft forthat did not make it please tell me this is illegal i have direct deposits coming in monthly","disgust","negative"
"wow ive considered changing banks for a while but really didnt want to deal with it after today however im over it so you have a system malfunction on payday so my direct deposit that happened at midnight last night isnt there you dont answer or return phone calls and when i go by the branch i get no answers now it isin the afternoon and i have no money i guess ill tell my kids its cereal for dinner because the money i worked so hard for all week isnt there because of bbts system malfunction im sure they are all knocking off right on time today too","sadness","neutral"
"lets first start off by saying dont bank here youll save yourself the stress the online system and the phone system has been down for the nd day now there is no way of finding out your balance or anything unless you go into the branch which is time wasting because even once you go into the branch they take forever and they are unprofessional this is not the first time the system has been down one day i went toatms at different locations and they were all down they dont email you to let you know anything they dont post your accurate transactions dont bank here i would close my account today but i need my bank card for uber but tomorrow i will be closing my account","joy","negative"
"as i write this onatin the morning all avenues to access bbt accounts via web phone and atm are down this is the worst experience in banking i have ever seen in myyears feed the squirrels crank the handle do whatever it takes to keep your antiquated system up and running these folks are behind the times","unknown","negative"
"bbt for the lasthrs in my area have reported the website down mobile app and phone automated systems are down they are not saying anything not providing any updates or anything its just amazing on the day that the tax deposits went in they are having systems issues","surprise","positive"
"disgraceful that their phone menu does not even have an avenue to talk to an actual human being i am so mad about this that i will be finding another bank to deal with my home mortgage really bbt not cool i will tell everyone what a joke you are","anger","neutral"
"recently financed a vehicle thru bbt called for a pay off to move the note to my credit union good luck getting a person to answer they will not give you a tenday pay off over the phone only by mail poor customer service run dont walk away from this bank they will only send by mail so that they can per diem you and get that last bit of money from you even if you sign up online and access your account you cannot get a payoff from your account info this is by far the worst experience i have ever had with a financial institution","joy","neutral"
"each time i have tried to pay association fees at bbt it has takenmin at the window and inside the bank as well i dont and wont bank there ever just need to pay association fees without taking my entire lunch break to do so","unknown","negative"
"time is worth money and that goes for a future customer clueless branch manager and staff in opening an account one hand did not know what the other was doing instead of giving them fancy offices and name plaques possibly hiring staff who know basic banking and computer skills might do a world of good bermuda run branch horrible and clemmons branch no better find skilled labor and pay them accordingly you not only lost me as a potential customer but also my business accounts very happy that i now found an excellent bank that listens and has skilled staff to take my transactions","joy","positive"
"i was questioned by deannaan employee at nicholson branch bank in independence about being on fmla because she heard that i was off work from of a coworker who was a relative to someone who sat next to me where i was employed apparently they have no privacy act in place with their employees that is a severe violation of my privacy and she should not be discussing my private or work life to anyone i highly advise changing to another bank since corporate wont do anything with this big mouth seriously dont she have anything else to do at work except for gossip stay away from bbt if you want your privacy invaded they also use this as a selling tool get your information and try to shove their services down your throat they are a sinking ship do your due diligence i closed all my accounts with bbt","sadness","negative"
"changed to bbt bank partly because the company i work for uses the bank and were offering a promotion and also because i am moving to nc where the bank has a strong presence i have had accounts there for several months now and started to experience some odd things happening things that i had never come across in years and years of banking at b of a and suntrusttheir online system is ok nothing out of the ordinary but i did notice that a lot of charges are simply listed by an address not the business name which is unusual makes it hard to figure out what is what when you have a lot of charges especially when traveling just a nuisance but not the end of the world i admit i also noticed from the getgo their branch buildings are kind of dank not very pleasant dull colors smelly i have been in several of their bank buildings locally and they are all pretty much the same the people working in them dont seem very happy eitherhowever what really started to tick me off was when i brought in a bank cashiers check to deposit in my account from closing suntrust the teller said the funds will not be available for several days i believe it actually ended up being close todays when i asked why this was i was told of some banking regulation or other i protested and said this is a bank cashiers checkit is as good as cash why do i have to wait again same regulation was the response again i protested and said i dont understand i have never heard of or experienced this before at any other bank anyway i let it gothen just today i deposited an expenses check from my company and was again told there was a hold a portion of the check would be available inhours and the balance sometime after that well that was it for me i demanded to know why that wasthe check was a bbt check from my company again some regulation or other i protested saying this was not right the teller went off and came back a few minutes later and apologized and said she did not realize it was a bbt check it was stamped right on it in big bold letters and said the funds will be available before close of business that day we shall seei know exactly what it is they are doing and it is not goodthey are taking my or your money and using it to make money themselves remember these are not personal checks they are named bank and bbt checks that should be as good as cash holding other peoples money is a common practice in business particularly the contracting business and this temporary positive cash flow is used by companies to make money for themselves as it flows through their books i have just never heard of this being done by a bank i think it is very unscrupulous the first day i move to nc i am moving my money elsewhere i dont trust them i wish i had done a little more research before putting myself in this bankview more","joy","neutral"
"orst bank ever can anyone tell me if it is legal for them to chargeto cash a check that was on their bank then wouldnt cash a check that was on their bank i could understand a check thats not on thats just they said had to have the guy that wrote it to me to come out and tell cause him a trip out thats not the first time i recommend everyone stay away from that bank nothing but trouble every time ive been in there","unknown","neutral"
"dont agree with their overdraft fee practices they take as much overdraft fee as possible they will take their time to post a transaction even though you have the funds and keep a positive balance on your account they wait for an opportunity for another transaction to go in so that your account is negative at this point is when they decide to post your early transaction so that they can charge you for two overdraft fees it happened twice to me now i have been a loyal customer for many years but no more","joy","positive"
